destino,sinal,pessoa,fonte,url,bytes
pessoaTUFV_sinal-abacate_rep01.mp4,abacate,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/Abacate.mp4,2128572
pessoaTUFV_sinal-abacaxi_rep01.mp4,abacaxi,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/abacaxi.mp4,2373247
pessoaTUFV_sinal-abajur_rep01.mp4,abajur,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01454-Abajur.mp4,1068821
pessoaT048_sinal-abencoar_rep01.mp4,abencoar,T048,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01551-Aben%C3%A7oar.mp4,1293150
pessoaTUFV_sinal-abobora_rep01.mp4,abobora,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/ab%C3%B3bora.mp4,2320423
pessoaTUFV_sinal-abracar_rep01.mp4,abracar,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01552-Abra%C3%A7ar.mp4,1047673
pessoaT049_sinal-abridor_rep01.mp4,abridor,T049,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/abridor.mp4,2437677
pessoaTUFV_sinal-abril-mes_rep01.mp4,abril-mes,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01510-Abril-mes.mp4,1104027
pessoaT048_sinal-abrir_rep01.mp4,abrir,T048,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01553-Abrir.mp4,1097621
pessoaTUFV_sinal-absorvente_rep01.mp4,absorvente,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/absorvente-1.mp4,1958657
pessoaTUFV_sinal-abstrato_rep01.mp4,abstrato,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/abstrato.mp4,1590560
pessoaT049_sinal-acai_rep01.mp4,acai,T049,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/a%C3%A7a%C3%AD.mp4,2164094
pessoaTUFV_sinal-acalmar_rep01.mp4,acalmar,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01555-Acalmar.mp4,1273947
pessoaT050_sinal-acerola_rep01.mp4,acerola,T050,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/acerola.mp4,2405458
pessoaT054_sinal-acessibilidade_rep01.mp4,acessibilidade,T054,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/acessibilidade.mp4,1447443
pessoaTUFV_sinal-achar_rep01.mp4,achar,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01556-Achar.mp4,954767
pessoaT050_sinal-achocolatado_rep01.mp4,achocolatado,T050,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/achocolatado.mp4,2530537
pessoaT048_sinal-acidentedecarro_rep01.mp4,acidentedecarro,T048,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1224-acidentedecarro.mp4,1397411
pessoaTUFV_sinal-acompanhar_rep01.mp4,acompanhar,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01558-Acompanhar.mp4,1165096
pessoaTUFV_sinal-acontecer_rep01.mp4,acontecer,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01559-Acontecer.mp4,1004691
pessoaT048_sinal-acostumado_rep01.mp4,acostumado,T048,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01561-Acostumado.mp4,1199266
pessoaTUFV_sinal-acrescentar_rep01.mp4,acrescentar,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01563-Acrescentar.mp4,1050329
pessoaT049_sinal-acucar_rep01.mp4,acucar,T049,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/a%C3%A7%C3%BAcar.mp4,2872671
pessoaTUFV_sinal-acumular_rep01.mp4,acumular,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01564-Acumular.mp4,984877
pessoaTUFV_sinal-acusar_rep01.mp4,acusar,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01565-Acusar.mp4,1012771
pessoaTUFV_sinal-adesivo_rep01.mp4,adesivo,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1283-adesivo.mp4,1146519
pessoaT048_sinal-adeus_rep01.mp4,adeus,T048,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01566-Adeus.mp4,1183551
pessoaT048_sinal-adiar_rep01.mp4,adiar,T048,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01567-Adiar.mp4,959827
pessoaTUFV_sinal-adivinhar_rep01.mp4,adivinhar,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01568-Adivinhar.mp4,1032491
pessoaTUFV_sinal-adjetivo_rep01.mp4,adjetivo,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/adjetivo-1.mp4,1449480
pessoaTUFV_sinal-adotar_rep01.mp4,adotar,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/888-adotar.mp4,1046760
pessoaTUFV_sinal-adulto_rep01.mp4,adulto,TUFV,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/889-adulto.mp4,1042664
pessoaT048_sinal-advogado_rep01.mp4,advogado,T048,ufv,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1399-advogado.mp4,929180
