word,category,priority,query,title,source_url,download_path,status
por favor,conectivo/solicitação,alto,Libras por favor,Por favor Sinal em Libras.,https://www.youtube.com/watch?v=lDOR-cnhfQc,,failed
por favor,conectivo/solicitação,alto,Libras por favor,"SINAL DE ""POR FAVOR"" EM LIBRAS (LÍNGUA DE SINAIS)",https://www.youtube.com/watch?v=-8g9LCo5lRA,,failed
por favor,conectivo/solicitação,alto,Libras por favor,35 SINAIS DE LIBRAS BÁSICOS MAIS USADOS (LÍNGUA DE SINAIS),https://www.youtube.com/watch?v=qkSfTWwds8c,,failed
por favor,conectivo/solicitação,alto,Libras por favor,POR FAVOR - SINAL EM LIBRAS,https://www.youtube.com/watch?v=df4_7UMxvJ8,,failed
por favor,conectivo/solicitação,alto,sinal de por favor em Libras,Por favor Sinal em Libras.,https://www.youtube.com/watch?v=lDOR-cnhfQc,,failed
por favor,conectivo/solicitação,alto,sinal de por favor em Libras,"SINAL DE ""POR FAVOR"" EM LIBRAS (LÍNGUA DE SINAIS)",https://www.youtube.com/watch?v=-8g9LCo5lRA,,failed
por favor,conectivo/solicitação,alto,sinal de por favor em Libras,POR FAVOR - SINAL EM LIBRAS,https://www.youtube.com/watch?v=df4_7UMxvJ8,,failed
por favor,conectivo/solicitação,alto,sinal de por favor em Libras,Sinal de Por favor e de com licença em libras. Como dizer por favor ou com licença em libras.,https://www.youtube.com/watch?v=pRcJvHmZpZI,,failed
por favor,conectivo/solicitação,alto,dicionario Libras por favor,Dicionario de Libras ppor favor,https://www.youtube.com/watch?v=FRfFP3ssfXc,,failed
por favor,conectivo/solicitação,alto,dicionario Libras por favor,Sinais de  POR FAVOR/COM LICENÇA/GELO/FRIO/GELADEIRA/PRATO/PIZZA em Libras,https://www.youtube.com/watch?v=IgKKfv5qqCs,,failed
por favor,conectivo/solicitação,alto,dicionario Libras por favor,DICA 4: Como usar o DICIONÁRIO ao seu favor!,https://www.youtube.com/watch?v=q2A7qmK4CdQ,,failed
por favor,conectivo/solicitação,alto,dicionario Libras por favor,Dicionario de Libras ppor favor,https://www.youtube.com/watch?v=5dGZWcmGT8c,,failed
por favor,conectivo/solicitação,alto,dicionario Libras por favor,35 SINAIS DE LIBRAS BÁSICOS MAIS USADOS (LÍNGUA DE SINAIS),https://www.youtube.com/watch?v=qkSfTWwds8c,,failed
