palavra,id,dur_s,canal,titulo,licenca,veredito,alertas,revisao_manual
agendar,Ev67uA_68Ak,64,Sinais diários de Libras,Sinal de AGENDAR em LIBRAS,(nenhuma declarada),descartar,longo,
ajudar,fFKvNicVieA,10,Prof. Anderson Pereira,Sinal de AJUDAR em Libras,(nenhuma declarada),descartar,medio,
ajudar,uQMbHg8hKtI,39,Sinais diários de Libras,Sinal de AJUDAR em LIBRAS,(nenhuma declarada),descartar,longo,
ajudar,09gLpPdVTlw,63,Rodrigo Timóteo - Libras,"Como se diz ""AJUDAR"" em Libras | Rodrigo Timóteo",(nenhuma declarada),descartar,longo|aula/explicativo|titulo-composto,
ajudar,l1j9s1q0G78,73,Educacional Traduz Brasil,Como posso te ajudar ? - Em libras,(nenhuma declarada),descartar,longo,
ajudar,nuzA5vSsPjE,80,Wellington G. Palma,Ajudar em Libras (6 Sinais),(nenhuma declarada),descartar,longo,
atendimento,eaWQDGzcP2I,17,Aprender com Libras,ATENDIMENTO sinalário Libras,(nenhuma declarada),descartar,medio,
buscar,cVGe2ZtC5QU,14,Tarso TILSP,Sinal de BUSCAR em Libras,(nenhuma declarada),descartar,medio,
buscar,lUUgCnP07qs,27,TV Sinais,Como eu falo sinal de BUSCAR em Libras - Professor João Fernando,(nenhuma declarada),descartar,longo|titulo-composto,
buscar,Zq0lXyLWKSs,43,AMO LIBRAS,Libras Sinal Buscar-nós,(nenhuma declarada),descartar,longo,
buscar,Evxf2fAXrOM,58,Gabriel Goergen,Como se diz BUSCAR em Libras?,(nenhuma declarada),descartar,longo|aula/explicativo,
buscar,P9uCesa0rXI,116,Hellen Pereira Lima,LIBRAS BÍBLIA - Buscar (Verbo),(nenhuma declarada),descartar,longo,
cansado,Z0hUNrHf6us,31,Sinais diários de Libras,Sinal de CANSAR | CANSADO em LIBRAS,(nenhuma declarada),descartar,longo,
como,XEaQnV4LnR8,18,YTAGirardi ,Frase em Libras: Como você está?,(nenhuma declarada),descartar,medio|aula/explicativo|titulo-composto,
consulta,LF-pct8Z6NY,6,TABATA LIBRAS,Consulta médica Libras,(nenhuma declarada),candidato,,
documento,7FUK04h5_zw,15,Tarso TILSP,Sinal de DOCUMENTO em Libras @TarsoTILSP,(nenhuma declarada),descartar,medio,
documento,klLtmu4e3kg,15,Pedro Paulo,DOCUMENTO Sinal em Libras.,(nenhuma declarada),descartar,medio,
documento,Io02GQaMWdI,31,JOSE BARBOSA DA SILVA,DOCUMENTO EM LIBRAS,(nenhuma declarada),descartar,longo,
documento,DtxfZwfxbxs,101,Sinais diários de Libras,Sinal de DOCUMENTO (s) em LIBRAS,(nenhuma declarada),descartar,longo,
documento,uu4gsmAVprA,130,Sinais diários de Libras,DOCUMENTO | CONTA - SINAL EM LIBRAS,(nenhuma declarada),descartar,longo,
dor,OTAjCwZcmM4,5,Felipe Souza,Sinal de Doer / Dor em Libras,(nenhuma declarada),descartar,,titulo com dois sinais ('A/B'): qual esta no clipe?
dor,jjjWh57LxLg,11,Libras e Saúde: Atendimento ao Paciente Surdo,"Frases em libras, exemplo de intensidade de dor",(nenhuma declarada),descartar,medio|aula/explicativo|titulo-composto,
dor,KdgOqgaP_nQ,15,Pedro Paulo,Dor / Doer Sinal em Libras.,(nenhuma declarada),descartar,medio,
dor,YqclCOtv9Qo,143,Prof. Leone Libras,Dor na região das mãos - Tenossinovite de Quervain (TDQ) em Libras,(nenhuma declarada),descartar,longo|titulo-composto,explicativo longo do mesmo canal; nao e sinal isolado
dor,eAvC4QeUzBA,174,Prof. Leone Libras,Dor na região lombar - Vídeo em Libras,(nenhuma declarada),descartar,longo,"conteudo errado: explicativo de 174s sobre 'dor lombar', sinalizante sentado"
entrar,L6CKrnDh8DY,5,FCEE - Traduções em LIBRAS,Entrar - Libras,(nenhuma declarada),candidato,,
entrar,V1N2UEp-XQA,13,Simone Libras,ENTRAR EM LIBRAS | SINAL DO VERBO ENTRAR EM LIBRAS,(nenhuma declarada),descartar,medio,
entrar,EcHsWMLnP14,31,Hellen Pereira Lima,LIBRAS BÍBLIA - Entrar/Entrada (Verbo/Substantivo),(nenhuma declarada),descartar,longo|titulo-composto,
entrar,NyYk9PfFWdg,34,TILS,3. Pedindo permissão para entrar na aula de Libras,(nenhuma declarada),descartar,longo|aula/explicativo|titulo-composto,
entrar,9gAbCgActfk,39,Sara França,"Variações da palavra ""Entrar"" - em Libras",(nenhuma declarada),descartar,longo|titulo-composto,
escrever,Q5RLtaEl4Mo,2,motivabrasil,Dicionario de Libras escrever,(nenhuma declarada),candidato,,
escrever,RpVxBZ3NSjI,3,Incluir Tecnologia,Libras - Escrever,(nenhuma declarada),candidato,,
escrever,j2RopRM-5Hs,3,motivabrasil,Dicionario de Libras maquina de escrever,(nenhuma declarada),descartar,,rotulo errado: 'maquina de escrever' e outro sinal
escrever,eoF-sf-XJDk,5,Maykon Carvalho,Escrever EM LIBRAS,(nenhuma declarada),candidato,,
escrever,WY5r1x1g-0c,42,Integra Surdos,Sinal de ESCREVER em LIBRAS,(nenhuma declarada),descartar,longo,
esperar,RDMFzRdJT38,5,GABBIE FALEIRO,ESPERAR- LIBRAS,(nenhuma declarada),candidato,,
esperar,XppZHIsDuDI,15,Min e as mãozinhas,"MINuto Libras - Sinal de hoje ""Esperar""",(nenhuma declarada),descartar,medio,
esperar,f70M7KpTHMc,15,Pedro Paulo,Esperar Sinal em Libras.,(nenhuma declarada),descartar,medio,
esperar,OqBsQ5uaS30,41,Sinais diários de Libras,Sinal de AGUARDAR / ESPERAR em LIBRAS,(nenhuma declarada),descartar,longo,
esperar,pNzcB9mRIRE,54,Hellen Pereira Lima,LIBRAS BÍBLIA - Esperar (Verbo),(nenhuma declarada),descartar,longo,
ler,UhL0NGvbLtc,15,Pedro Paulo,Ler Sinal em Libras.,(nenhuma declarada),descartar,medio,
